company_id,metric_type,period_years,value_pct,manual_review_flag
C001,compounded_sales_growth,10,14.8,false
C001,compounded_sales_growth,5,13.8,false
C001,compounded_sales_growth,3,13.4,false
C001,compounded_profit_growth,10,16.8,false
C001,compounded_profit_growth,5,15.8,false
C001,compounded_profit_growth,3,15.4,false
C001,stock_price_cagr,10,15.8,false
C001,stock_price_cagr,5,14.8,false
C001,stock_price_cagr,3,14.4,false
C001,roe,10,18.8,false
C001,roe,5,17.8,false
C001,roe,3,17.4,false
C002,compounded_sales_growth,10,15.6,false
C002,compounded_sales_growth,5,14.6,false
C002,compounded_sales_growth,3,14.2,false
C002,compounded_profit_growth,10,17.6,false
C002,compounded_profit_growth,5,16.6,false
C002,compounded_profit_growth,3,16.2,false
C002,stock_price_cagr,10,16.6,false
C002,stock_price_cagr,5,15.6,false
C002,stock_price_cagr,3,15.2,false
C002,roe,10,19.6,false
C002,roe,5,18.6,false
C002,roe,3,18.2,false
C003,compounded_sales_growth,10,16.4,false
C003,compounded_sales_growth,5,15.4,false
C003,compounded_sales_growth,3,15,false
C003,compounded_profit_growth,10,18.4,false
C003,compounded_profit_growth,5,17.4,false
C003,compounded_profit_growth,3,17,false
C003,stock_price_cagr,10,17.4,false
C003,stock_price_cagr,5,16.4,false
C003,stock_price_cagr,3,16,false
C003,roe,10,20.4,false
C003,roe,5,19.4,false
C003,roe,3,19,false
C004,compounded_sales_growth,10,17.2,false
C004,compounded_sales_growth,5,16.2,false
C004,compounded_sales_growth,3,15.8,false
C004,compounded_profit_growth,10,19.2,false
C004,compounded_profit_growth,5,18.2,false
C004,compounded_profit_growth,3,17.8,false
C004,stock_price_cagr,10,18.2,false
C004,stock_price_cagr,5,17.2,false
C004,stock_price_cagr,3,16.8,false
C004,roe,10,21.2,false
C004,roe,5,20.2,false
C004,roe,3,19.8,false
C005,compounded_sales_growth,10,18,false
C005,compounded_sales_growth,5,17,false
C005,compounded_sales_growth,3,16.6,false
C005,compounded_profit_growth,10,20,false
C005,compounded_profit_growth,5,19,false
C005,compounded_profit_growth,3,18.6,false
C005,stock_price_cagr,10,19,false
C005,stock_price_cagr,5,18,false
C005,stock_price_cagr,3,17.6,false
C005,roe,10,22,false
C005,roe,5,21,false
C005,roe,3,20.6,false
C006,compounded_sales_growth,10,18.8,false
C006,compounded_sales_growth,5,17.8,false
C006,compounded_sales_growth,3,17.4,false
C006,compounded_profit_growth,10,20.8,false
C006,compounded_profit_growth,5,19.8,false
C006,compounded_profit_growth,3,19.4,false
C006,stock_price_cagr,10,19.8,false
C006,stock_price_cagr,5,18.8,false
C006,stock_price_cagr,3,18.4,false
C006,roe,10,22.8,false
C006,roe,5,21.8,false
C006,roe,3,21.4,false
C007,compounded_sales_growth,10,19.6,false
C007,compounded_sales_growth,5,18.6,false
C007,compounded_sales_growth,3,18.2,false
C007,compounded_profit_growth,10,21.6,false
C007,compounded_profit_growth,5,20.6,false
C007,compounded_profit_growth,3,20.2,false
C007,stock_price_cagr,10,20.6,false
C007,stock_price_cagr,5,19.6,false
C007,stock_price_cagr,3,19.2,false
C007,roe,10,23.6,false
C007,roe,5,22.6,false
C007,roe,3,22.2,false
C008,compounded_sales_growth,10,20.4,false
C008,compounded_sales_growth,5,19.4,false
C008,compounded_sales_growth,3,19,false
C008,compounded_profit_growth,10,22.4,false
C008,compounded_profit_growth,5,21.4,false
C008,compounded_profit_growth,3,21,false
C008,stock_price_cagr,10,21.4,false
C008,stock_price_cagr,5,20.4,false
C008,stock_price_cagr,3,20,false
C008,roe,10,24.4,false
C008,roe,5,23.4,false
C008,roe,3,23,false
C009,compounded_sales_growth,10,14,false
C009,compounded_sales_growth,5,13,false
C009,compounded_sales_growth,3,12.6,false
C009,compounded_profit_growth,10,16,false
C009,compounded_profit_growth,5,15,false
C009,compounded_profit_growth,3,14.6,false
C009,stock_price_cagr,10,15,false
C009,stock_price_cagr,5,14,false
C009,stock_price_cagr,3,13.6,false
C009,roe,10,18,false
C009,roe,5,17,false
C009,roe,3,16.6,false
C010,compounded_sales_growth,10,14.8,false
C010,compounded_sales_growth,5,13.8,false
C010,compounded_sales_growth,3,13.4,false
C010,compounded_profit_growth,10,16.8,false
C010,compounded_profit_growth,5,15.8,false
C010,compounded_profit_growth,3,15.4,false
C010,stock_price_cagr,10,15.8,false
C010,stock_price_cagr,5,14.8,false
C010,stock_price_cagr,3,14.4,false
C010,roe,10,18.8,false
C010,roe,5,17.8,false
C010,roe,3,17.4,false
C011,compounded_sales_growth,10,15.6,false
C011,compounded_sales_growth,5,14.6,false
C011,compounded_sales_growth,3,14.2,false
C011,compounded_profit_growth,10,17.6,false
C011,compounded_profit_growth,5,16.6,false
C011,compounded_profit_growth,3,16.2,false
C011,stock_price_cagr,10,16.6,false
C011,stock_price_cagr,5,15.6,false
C011,stock_price_cagr,3,15.2,false
C011,roe,10,19.6,false
C011,roe,5,18.6,false
C011,roe,3,18.2,false
C012,compounded_sales_growth,10,16.4,false
C012,compounded_sales_growth,5,15.4,false
C012,compounded_sales_growth,3,15,false
C012,compounded_profit_growth,10,18.4,false
C012,compounded_profit_growth,5,17.4,false
C012,compounded_profit_growth,3,17,false
C012,stock_price_cagr,10,17.4,false
C012,stock_price_cagr,5,16.4,false
C012,stock_price_cagr,3,16,false
C012,roe,10,20.4,false
